GuiseLanguage,GuiseGender,Participant,ListenerGender,Trustworthy,Friendly,Agreeable,Wealthy,Educated,Local,Urban,Feminine_voice,Language_mastery,Pleasant_voice,Refined_accent
Genoese,Male,s39,Male,5,5,4,4,4,7,3,1,5,5,3
Genoese,Male,s40,Female,6,4,4,4,4,7,4,1,4,6,3
Genoese,Male,s41,Male,1,1,1,3,1,7,7,1,6,1,7
Genoese,Male,s42,Female,6,6,7,4,6,7,3,1,7,7,6
Genoese,Male,s43,Female,4,5,6,4,1,7,1,1,7,7,6
Genoese,Male,s44,Male,4,4,7,4,7,7,1,1,1,6,4
Genoese,Male,s45,Female,7,5,4,4,7,7,4,1,7,7,4
Genoese,Male,s46,Female,6,4,6,6,7,7,7,1,7,7,7
Genoese,Male,s47,Female,4,4,4,4,5,7,1,1,4,4,4
Genoese,Male,s48,Female,4,4,6,4,6,7,4,1,7,7,6
Genoese,Male,s49,Female,7,7,3,4,4,7,3,1,7,7,5
Genoese,Male,s50,Female,6,5,6,3,5,7,6,1,6,6,2
Genoese,Male,s51,Male,7,6,7,4,2,7,6,1,7,6,6
Genoese,Male,s52,Female,4,4,5,4,6,7,6,1,7,7,6
Genoese,Male,s53,Female,7,7,7,4,4,7,2,1,7,7,2
Genoese,Male,s54,Female,6,4,6,1,6,7,2,1,6,6,1
Genoese,Male,s55,Male,6,7,7,4,7,7,2,1,7,7,6
Genoese,Male,s56,Female,4,4,7,4,7,7,1,1,7,6,4
Genoese,Male,s57,Female,4,2,2,6,7,7,2,1,7,7,7
Genoese,Male,s58,Male,6,4,5,6,3,6,6,1,5,7,4
Genoese,Male,s59,Female,4,4,4,4,4,6,4,1,5,3,5
Genoese,Male,s60,Male,4,4,4,4,3,7,7,3,3,5,5
Genoese,Male,s61,Male,6,6,7,4,7,1,4,1,6,7,1
Genoese,Male,s62,Male,6,6,7,4,5,2,2,1,3,3,6
Genoese,Male,s63,Male,6,6,5,5,4,7,3,1,7,6,7
Genoese,Male,s64,Male,6,5,6,4,6,7,1,1,7,6,4
Genoese,Male,s65,Male,6,5,6,4,6,1,2,1,7,6,6
